Nested Sampling Global Log-Evidence           :    0.430964114347096483E+03  +/-    0.190321501848678465E+00

Dim No.       Mean        Sigma
   1    0.130343313773192748E+01    0.221849801255158451E-02
   2    0.143110217316830358E+04    0.669559086320106474E+02
   3   -0.557634268730803306E+01    0.302302164005835372E+00
   4   -0.720286967393435695E+01    0.328386066654439257E+00
   5   -0.396261805895295005E+01    0.173984879219171273E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130255501298488663E+01
   2    0.146221597126859501E+04
   3   -0.561923453210682045E+01
   4   -0.708372848174828729E+01
   5   -0.399702308783305327E+01

MAP Parameters
Dim No.        Parameter
   1    0.130255501298488663E+01
   2    0.146221597126859501E+04
   3   -0.561923453210682045E+01
   4   -0.708372848174828729E+01
   5   -0.399702308783305327E+01
